Product_Label,Economy_Label,Partner_Label,1995_US_dollars_at_current_prices_in_thousands_Value,1995_US_dollars_at_current_prices_Footnote,1995_US_dollars_at_current_prices_MissingValue,1996_US_dollars_at_current_prices_in_thousands_Value,1996_US_dollars_at_current_prices_Footnote,1996_US_dollars_at_current_prices_MissingValue,1997_US_dollars_at_current_prices_in_thousands_Value,1997_US_dollars_at_current_prices_Footnote,1997_US_dollars_at_current_prices_MissingValue,1998_US_dollars_at_current_prices_in_thousands_Value,1998_US_dollars_at_current_prices_Footnote,1998_US_dollars_at_current_prices_MissingValue,1999_US_dollars_at_current_prices_in_thousands_Value,1999_US_dollars_at_current_prices_Footnote,1999_US_dollars_at_current_prices_MissingValue,2000_US_dollars_at_current_prices_in_thousands_Value,2000_US_dollars_at_current_prices_Footnote,2000_US_dollars_at_current_prices_MissingValue,2001_US_dollars_at_current_prices_in_thousands_Value,2001_US_dollars_at_current_prices_Footnote,2001_US_dollars_at_current_prices_MissingValue,2002_US_dollars_at_current_prices_in_thousands_Value,2002_US_dollars_at_current_prices_Footnote,2002_US_dollars_at_current_prices_MissingValue,2003_US_dollars_at_current_prices_in_thousands_Value,2003_US_dollars_at_current_prices_Footnote,2003_US_dollars_at_current_prices_MissingValue,2004_US_dollars_at_current_prices_in_thousands_Value,2004_US_dollars_at_current_prices_Footnote,2004_US_dollars_at_current_prices_MissingValue,2005_US_dollars_at_current_prices_in_thousands_Value,2005_US_dollars_at_current_prices_Footnote,2005_US_dollars_at_current_prices_MissingValue,2006_US_dollars_at_current_prices_in_thousands_Value,2006_US_dollars_at_current_prices_Footnote,2006_US_dollars_at_current_prices_MissingValue,2007_US_dollars_at_current_prices_in_thousands_Value,2007_US_dollars_at_current_prices_Footnote,2007_US_dollars_at_current_prices_MissingValue,2008_US_dollars_at_current_prices_in_thousands_Value,2008_US_dollars_at_current_prices_Footnote,2008_US_dollars_at_current_prices_MissingValue,2009_US_dollars_at_current_prices_in_thousands_Value,2009_US_dollars_at_current_prices_Footnote,2009_US_dollars_at_current_prices_MissingValue,2010_US_dollars_at_current_prices_in_thousands_Value,2010_US_dollars_at_current_prices_Footnote,2010_US_dollars_at_current_prices_MissingValue,2011_US_dollars_at_current_prices_in_thousands_Value,2011_US_dollars_at_current_prices_Footnote,2011_US_dollars_at_current_prices_MissingValue,2012_US_dollars_at_current_prices_in_thousands_Value,2012_US_dollars_at_current_prices_Footnote,2012_US_dollars_at_current_prices_MissingValue,2013_US_dollars_at_current_prices_in_thousands_Value,2013_US_dollars_at_current_prices_Footnote,2013_US_dollars_at_current_prices_MissingValue,2014_US_dollars_at_current_prices_in_thousands_Value,2014_US_dollars_at_current_prices_Footnote,2014_US_dollars_at_current_prices_MissingValue,2015_US_dollars_at_current_prices_in_thousands_Value,2015_US_dollars_at_current_prices_Footnote,2015_US_dollars_at_current_prices_MissingValue,2016_US_dollars_at_current_prices_in_thousands_Value,2016_US_dollars_at_current_prices_Footnote,2016_US_dollars_at_current_prices_MissingValue,2017_US_dollars_at_current_prices_in_thousands_Value,2017_US_dollars_at_current_prices_Footnote,2017_US_dollars_at_current_prices_MissingValue,2018_US_dollars_at_current_prices_in_thousands_Value,2018_US_dollars_at_current_prices_Footnote,2018_US_dollars_at_current_prices_MissingValue,2019_US_dollars_at_current_prices_in_thousands_Value,2019_US_dollars_at_current_prices_Footnote,2019_US_dollars_at_current_prices_MissingValue,2020_US_dollars_at_current_prices_in_thousands_Value,2020_US_dollars_at_current_prices_Footnote,2020_US_dollars_at_current_prices_MissingValue,2021_US_dollars_at_current_prices_in_thousands_Value,2021_US_dollars_at_current_prices_Footnote,2021_US_dollars_at_current_prices_MissingValue,2022_US_dollars_at_current_prices_in_thousands_Value,2022_US_dollars_at_current_prices_Footnote,2022_US_dollars_at_current_prices_MissingValue
"TOTAL ALL PRODUCTS","Brazil","Canada",460888,,,505752,,,583790,,,544030,,,513145,,,565248,,,554054,,,781289,,,977430,,,1198336,,,1948519,,,2280425,,,2360269,,,1864982,,,1711858,,,2320641,,,3129523,,,3078221,,,2701714,,,2313510,,,2362290,,,2365967,,,2719391,,,3353111,,,3381608,,,4229943,,,4922330,,,5382042,,
"TOTAL ALL PRODUCTS","Brazil","China",1203741,,,1113814,,,1088201,,,904860,,,676129,,,1084860,,,1901251,,,2516554,,,4531201,,,5438638,,,6826868,,,8398204,,,10776728,,,16519994,,,20994920,,,30747554,,,44304608,,,41225811,,,46023192,,,40611877,,,35155354,,,35133315,,,47488450,,,63929563,,,63357523,,,67788075,,,87907888,,,89718899,,
"TOTAL ALL PRODUCTS","Brazil","France",1086310,,,958839,,,1151424,,,1256080,,,1227257,,,1789952,,,1673225,,,1553622,,,1749806,,,2233477,,,2566710,,,2744169,,,3535328,,,4185231,,,2948045,,,3613916,,,4358072,,,4136897,,,3423194,,,2947358,,,2270098,,,2334634,,,2249927,,,2649661,,,2641037,,,2014110,,,2523970,,,3547999,,
"TOTAL ALL PRODUCTS","Brazil","Germany",2158169,,,2082675,,,2607761,,,3005695,,,2544061,,,2524701,,,2498271,,,2532480,,,3126041,,,4031584,,,5058805,,,5686504,,,7208845,,,8847430,,,6171900,,,8134205,,,9038448,,,7274547,,,6550769,,,6627220,,,5170618,,,4860767,,,4911018,,,5206385,,,4731500,,,4123730,,,5042729,,,6267794,,
"TOTAL ALL PRODUCTS","Brazil","India",319983,,,184907,,,166288,,,144870,,,313893,,,217155,,,284977,,,653511,,,552852,,,651323,,,1137748,,,938669,,,957604,,,1101862,,,3414499,,,3490425,,,3200383,,,5575575,,,3129783,,,4787813,,,3617195,,,3161432,,,4657328,,,3908942,,,2776646,,,2884745,,,4799018,,,6340499,,
"TOTAL ALL PRODUCTS","Brazil","Italy",1713021,,,1530655,,,1709141,,,1931016,,,1845465,,,2142989,,,1807575,,,1814311,,,2205725,,,2901869,,,3228479,,,3834804,,,4462250,,,4758750,,,3015063,,,4232362,,,5437937,,,4579860,,,4097947,,,4020305,,,3269829,,,3321622,,,3561003,,,3554477,,,3149264,,,3054875,,,3861445,,,4823399,,
"TOTAL ALL PRODUCTS","Brazil","Japan",3101561,,,3047111,,,3068060,,,2201854,,,2192578,,,2471248,,,1984742,,,2096533,,,2310191,,,2766993,,,3452620,,,3893907,,,4320342,,,6111848,,,4269527,,,7140402,,,9471866,,,7954951,,,7963909,,,6717455,,,4843042,,,4604146,,,5261211,,,4321411,,,5431771,,,4127277,,,5539500,,,6603070,,
"TOTAL ALL PRODUCTS","Brazil","Russian Federation",569263,,,465698,,,760588,,,647321,,,746280,,,422815,,,1100947,,,1251491,,,1498306,,,1651987,,,2913724,,,3435715,,,3725109,,,4631439,,,2865000,,,4147691,,,4210902,,,3139765,,,2972651,,,3821011,,,2463243,,,2299895,,,2736532,,,1654847,,,1618719,,,1523730,,,1587205,,,1973629,,
"TOTAL ALL PRODUCTS","Brazil","South Africa",,,,,,,,,,,,,,,,301311,,,423607,,,477153,,,732631,,,1033817,,,1371030,,,1461133,,,1757067,,,1752958,,,1259101,,,1309312,,,1679474,,,1764251,,,1835424,,,1225273,,,1353282,,,1397021,,,1509612,,,1362466,,,1132155,,,989029,,,1186757,,,1725255,,
"TOTAL ALL PRODUCTS","Brazil","United Kingdom",1325555,,,1323643,,,1258817,,,1339209,,,1437193,,,1496509,,,1702994,,,1767164,,,1895646,,,2112532,,,2598580,,,2827351,,,3299753,,,3782427,,,3725192,,,4631981,,,5229523,,,4518090,,,4100491,,,3859906,,,2915604,,,2868717,,,2844277,,,3009410,,,2971316,,,2544244,,,3086763,,,3696672,,
