Year,Economy,Economy Label,Category,Category Label,Inclusive growth,Inclusive growth Footnote,Inclusive growth Missing value
2021,008,"Albania",00,"Overall index",38,,
2021,008,"Albania",01,"Economy",14.8,,
2021,008,"Albania",02,"Living conditions",55.8,,
2021,008,"Albania",03,"Equality",59.2,,
2021,008,"Albania",04,"Environment",42.4,,
2021,012,"Algeria",00,"Overall index",23.4,,
2021,012,"Algeria",01,"Economy",9.2,,
2021,012,"Algeria",02,"Living conditions",53.9,,
2021,012,"Algeria",03,"Equality",28.2,,
2021,012,"Algeria",04,"Environment",21.5,,
2021,024,"Angola",00,"Overall index",25.3,,
2021,024,"Angola",01,"Economy",15.8,,
2021,024,"Angola",02,"Living conditions",14.6,,
2021,024,"Angola",03,"Equality",41,,
2021,024,"Angola",04,"Environment",43.1,,
2021,032,"Argentina",00,"Overall index",43.5,,
2021,032,"Argentina",01,"Economy",20.6,,
2021,032,"Argentina",02,"Living conditions",71.7,,
2021,032,"Argentina",03,"Equality",76.8,,
2021,032,"Argentina",04,"Environment",31.6,,
2021,051,"Armenia",00,"Overall index",35.4,,
2021,051,"Armenia",01,"Economy",15.9,,
2021,051,"Armenia",02,"Living conditions",58.2,,
2021,051,"Armenia",03,"Equality",60,,
2021,051,"Armenia",04,"Environment",28.3,,
2021,036,"Australia",00,"Overall index",59.8,,
2021,036,"Australia",01,"Economy",50.9,,
2021,036,"Australia",02,"Living conditions",91.8,,
2021,036,"Australia",03,"Equality",91.2,,
2021,036,"Australia",04,"Environment",30.1,,
2021,040,"Austria",00,"Overall index",65.6,,
2021,040,"Austria",01,"Economy",49.6,,
2021,040,"Austria",02,"Living conditions",88.5,,
2021,040,"Austria",03,"Equality",89.9,,
2021,040,"Austria",04,"Environment",46.8,,
2021,031,"Azerbaijan",00,"Overall index",34.5,,
2021,031,"Azerbaijan",01,"Economy",19.5,,
2021,031,"Azerbaijan",02,"Living conditions",51.6,,
2021,031,"Azerbaijan",03,"Equality",57.4,,
2021,031,"Azerbaijan",04,"Environment",24.4,,
2021,050,"Bangladesh",00,"Overall index",26.4,,
2021,050,"Bangladesh",01,"Economy",8.6,,
2021,050,"Bangladesh",02,"Living conditions",43.1,,
2021,050,"Bangladesh",03,"Equality",31,,
2021,050,"Bangladesh",04,"Environment",41.9,,
2021,112,"Belarus",00,"Overall index",47.2,,
2021,112,"Belarus",01,"Economy",24.2,,
2021,112,"Belarus",02,"Living conditions",77.8,,
2021,112,"Belarus",03,"Equality",87,,
2021,112,"Belarus",04,"Environment",30.2,,
2021,056,"Belgium",00,"Overall index",66.3,,
2021,056,"Belgium",01,"Economy",49.9,,
2021,056,"Belgium",02,"Living conditions",100,,
2021,056,"Belgium",03,"Equality",86.4,,
2021,056,"Belgium",04,"Environment",44.8,,
2021,204,"Benin",00,"Overall index",20.3,,
2021,204,"Benin",01,"Economy",9.8,,
2021,204,"Benin",02,"Living conditions",22.2,,
2021,204,"Benin",03,"Equality",24.3,,
2021,204,"Benin",04,"Environment",32.1,,
2021,064,"Bhutan",00,"Overall index",28.6,,
2021,064,"Bhutan",01,"Economy",15.9,,
2021,064,"Bhutan",02,"Living conditions",44.8,,
2021,064,"Bhutan",03,"Equality",53.1,,
2021,064,"Bhutan",04,"Environment",17.7,,
2021,068,"Bolivia (Plurinational State of)",00,"Overall index",36.9,,
2021,068,"Bolivia (Plurinational State of)",01,"Economy",14.4,,
2021,068,"Bolivia (Plurinational State of)",02,"Living conditions",53.4,,
2021,068,"Bolivia (Plurinational State of)",03,"Equality",73,,
2021,068,"Bolivia (Plurinational State of)",04,"Environment",33.2,,
2021,072,"Botswana",00,"Overall index",33.8,,
2021,072,"Botswana",01,"Economy",16.4,,
2021,072,"Botswana",02,"Living conditions",48,,
2021,072,"Botswana",03,"Equality",42.9,,
2021,072,"Botswana",04,"Environment",38.6,,
2021,076,"Brazil",00,"Overall index",39.6,,
2021,076,"Brazil",01,"Economy",16.1,,
2021,076,"Brazil",02,"Living conditions",73.2,,
2021,076,"Brazil",03,"Equality",59.1,,
2021,076,"Brazil",04,"Environment",35.4,,
2021,100,"Bulgaria",00,"Overall index",46.5,,
2021,100,"Bulgaria",01,"Economy",25.1,,
2021,100,"Bulgaria",02,"Living conditions",75.3,,
2021,100,"Bulgaria",03,"Equality",64.7,,
2021,100,"Bulgaria",04,"Environment",38.1,,
2021,854,"Burkina Faso",00,"Overall index",20.6,,
2021,854,"Burkina Faso",01,"Economy",9.9,,
2021,854,"Burkina Faso",02,"Living conditions",11.8,,
2021,854,"Burkina Faso",03,"Equality",36.4,,
2021,854,"Burkina Faso",04,"Environment",42.4,,
2021,108,"Burundi",00,"Overall index",24.1,,
2021,108,"Burundi",01,"Economy",12.3,,
2021,108,"Burundi",02,"Living conditions",15.1,,
2021,108,"Burundi",03,"Equality",61.7,,
2021,108,"Burundi",04,"Environment",29.5,,
